clon,clat,cdep,slip,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
1556639.7804679153,5276495.55724044,488.7804878048781,6.352725951153513,1556345.0434442796,5276068.201442203,1.0,1556688.6978208122,5277012.384081822,1.0,1556934.5174915516,5276922.913038677,976.5609756097562,1556590.863115019,5275978.730399056,976.5609756097562
1556983.434844448,5277439.739880059,488.7804878048781,8.351408206041775,1556688.6978208122,5277012.384081822,1.0,1557032.3521973446,5277956.566721443,1.0,1557278.1718680842,5277867.095678296,976.5609756097562,1556934.5174915516,5276922.913038677,976.5609756097562
1557327.0892209809,5278383.92251968,488.7804878048781,9.312134394916386,1557032.3521973446,5277956.566721443,1.0,1557376.0065738773,5278900.749361062,1.0,1557621.8262446169,5278811.278317917,976.5609756097562,1557278.1718680842,5277867.095678296,976.5609756097562
1557670.743597513,5279328.1051593,488.7804878048781,9.460363580003717,1557376.0065738773,5278900.749361062,1.0,1557719.66095041,5279844.932000683,1.0,1557965.4806211495,5279755.4609575365,976.5609756097562,1557621.8262446169,5278811.278317917,976.5609756097562
1558014.397974046,5280272.287798919,488.7804878048781,9.241225582367964,1557719.66095041,5279844.932000683,1.0,1558063.3153269426,5280789.114640303,1.0,1558309.134997682,5280699.643597156,976.5609756097562,1557965.4806211495,5279755.4609575365,976.5609756097562
1558358.0523505784,5281216.47043854,488.7804878048781,9.214418197349943,1558063.3153269426,5280789.114640303,1.0,1558406.9697034752,5281733.297279923,1.0,1558652.7893742146,5281643.826236776,976.5609756097562,1558309.134997682,5280699.643597156,976.5609756097562
1558701.7067271112,5282160.65307816,488.7804878048781,8.334426102917092,1558406.9697034752,5281733.297279923,1.0,1558750.624080008,5282677.479919543,1.0,1558996.4437507472,5282588.008876397,976.5609756097562,1558652.7893742146,5281643.826236776,976.5609756097562
1559045.3611036437,5283104.83571778,488.7804878048781,7.400510397352839,1558750.624080008,5282677.479919543,1.0,1559094.2784565403,5283621.662559163,1.0,1559340.09812728,5283532.191516017,976.5609756097562,1558996.4437507472,5282588.008876397,976.5609756097562
1559389.0154801763,5284049.0183574,488.7804878048781,7.072955259105883,1559094.2784565403,5283621.662559163,1.0,1559437.932833073,5284565.845198783,1.0,1559683.7525038125,5284476.374155637,976.5609756097562,1559340.09812728,5283532.191516017,976.5609756097562
1559732.6698567092,5284993.20099702,488.7804878048781,7.013148544101507,1559437.932833073,5284565.845198783,1.0,1559781.5872096056,5285510.027838403,1.0,1560027.4068803452,5285420.556795257,976.5609756097562,1559683.7525038125,5284476.374155637,976.5609756097562
1560076.3242332414,5285937.38363664,488.7804878048781,6.368331155230842,1559781.5872096056,5285510.027838403,1.0,1560125.241586138,5286454.210478023,1.0,1560371.0612568776,5286364.739434877,976.5609756097562,1560027.4068803452,5285420.556795257,976.5609756097562
1560419.9786097743,5286881.566276261,488.7804878048781,4.603017202903595,1560125.241586138,5286454.210478023,1.0,1560468.8959626707,5287398.393117644,1.0,1560714.7156334103,5287308.922074497,976.5609756097562,1560371.0612568776,5286364.739434877,976.5609756097562
1560763.6329863067,5287825.74891588,488.7804878048781,5.131159812462024,1560468.8959626707,5287398.393117644,1.0,1560812.5503392033,5288342.575757263,1.0,1561058.3700099427,5288253.104714117,976.5609756097562,1560714.7156334103,5287308.922074497,976.5609756097562
